LONGITUDE,LATITUDE,BRIGHT_TI4,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_TI5,FRP,DAYNIGHT
11.22879,10.85204,335.4,0.39,0.36,2020-06-07,1230,N,VIIRS,n,1.0NRT,304.5,1.7,D
14.07328,11.3712,338.4,0.48,0.4,2020-06-07,1230,N,VIIRS,l,1.0NRT,310,3.7,D
12.5044,10.86963,335.2,0.41,0.37,2020-06-07,1230,N,VIIRS,l,1.0NRT,306.7,1.3,D
12.88033,11.00766,335.6,0.42,0.38,2020-06-07,1230,N,VIIRS,n,1.0NRT,302.9,2,D
5.34767,5.66661,302.9,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,278.5,0.8,N
6.05751,5.5213,318.6,0.42,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,279.8,1.4,N
6.69604,5.45857,300.7,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,274.6,0.5,N
5.34821,5.66997,312.5,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,279.2,1.1,N
5.37694,5.68948,311,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,277.2,0.6,N
5.3764,5.68612,301.9,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,275.7,0.6,N
6.68151,5.54404,313.1,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,279.9,1.2,N
6.30403,5.56869,331.6,0.42,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,273.3,3.6,N
6.39343,5.66645,308.8,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,260.9,0.2,N
6.68209,5.54756,305.7,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,280.5,0.7,N
4.88066,5.91476,332.4,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,284.1,4.1,N
4.88014,5.91143,310.5,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,283.5,1.6,N
6.67055,5.63268,323.9,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,274.9,1.7,N
6.51838,5.6571,300.2,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,267.4,1.2,N
6.51895,5.66059,317,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,267.3,1.2,N
6.67113,5.63619,303.7,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,273.4,0.7,N
5.22192,5.55948,307.9,0.39,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,277.4,1.1,N
5.88246,5.44771,311.3,0.41,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,281.6,1.3,N
5.2189,5.5634,301.8,0.39,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,277.3,1.4,N
5.22245,5.56284,306.1,0.39,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,277.7,1.2,N
5.22304,5.56815,318.3,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,263.2,0.7,N
5.46893,5.5238,341.7,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,284.6,4.7,N
5.22003,5.57207,298.1,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,267.5,0.9,N
5.22358,5.5715,295.7,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,267.4,0.7,N
6.17856,5.45951,312.6,0.42,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,283,1.1,N
5.20108,5.6129,346.1,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,282.6,5.4,N
5.20162,5.61625,337,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,283.2,5.4,N
5.20516,5.61569,305.8,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,282.9,5.4,N
6.65722,5.38571,342.5,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,279.8,3.1,N
6.66116,5.38507,316.9,0.44,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,278.3,3.1,N
5.91572,5.54041,313.4,0.41,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,277.3,1,N
5.93833,5.51576,324.9,0.41,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,279.5,2.4,N
6.65785,7.46852,308.9,0.42,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,287.8,0.8,N
6.40413,7.35217,303.8,0.41,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,288.9,0.5,N
13.5251,12.13992,307.2,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.2,1.4,N
11.47452,10.93303,304.2,0.46,0.47,2020-06-08,106,N,VIIRS,n,1.0NRT,294.1,0.8,N
13.53248,12.14859,315.5,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.4,3.8,N
13.52605,12.14476,312.9,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.3,1.4,N
13.53891,12.15242,341.2,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,296.1,3.8,N
13.53343,12.15343,310.6,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.4,3.8,N
13.53987,12.15727,315.3,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.6,3.1,N
13.54536,12.15626,319.3,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.6,2.6,N
13.54631,12.16111,311.2,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.8,2.6,N
13.5518,12.1601,311.8,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.6,2.6,N
13.56925,12.16193,310.8,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.3,2.3,N
13.5573,12.15909,327.7,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,296,5.3,N
13.56376,12.16294,338.5,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,296.3,3,N
13.55826,12.16394,315.4,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.7,3,N
6.36125,5.68585,312.7,0.42,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,262.6,0.6,N
6.51507,5.66121,305.2,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,267.9,1.2,N
6.8147,5.6204,313.8,0.44,0.39,2020-06-08,106,N,VIIRS,n,1.0NRT,277,1.4,N
6.35743,5.68646,296.3,0.42,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,262.7,0.7,N
6.42025,5.71676,312.7,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,262.5,1.5,N
6.59022,5.68902,303.3,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,264.9,0.7,N
5.05144,5.95136,320.9,0.39,0.36,2020-06-08,106,N,VIIRS,n,1.0NRT,277.4,1.5,N
6.48672,5.71307,314.4,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,266.5,1.4,N
6.56045,5.80245,303.2,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,270.9,0.5,N
5.58277,5.90093,313.4,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,274.3,1.1,N
6.21715,5.88312,307,0.42,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,260.6,0.4,N
6.44101,5.82194,299.9,0.43,0.38,2020-06-08,106,N,VIIRS,n,1.0NRT,268.7,0.5,N
5.5861,6.0617,317.7,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,275.4,1.7,N
5.86462,6.01322,318.5,0.41,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,267.8,1.7,N
5.6818,6.40964,306.5,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,276.1,0.9,N
5.58664,6.06507,301.1,0.4,0.37,2020-06-08,106,N,VIIRS,n,1.0NRT,274.8,0.4,N
6.63325,4.52703,298.9,0.45,0.39,2020-06-08,112,N,VIIRS,n,1.0NRT,273.6,0.6,N
6.2625,4.6297,308.9,0.43,0.38,2020-06-08,112,N,VIIRS,n,1.0NRT,272.8,1.1,N
5.91943,4.55454,305,0.42,0.38,2020-06-08,112,N,VIIRS,n,1.0NRT,268.9,0.6,N
5.91998,4.55799,300.9,0.42,0.38,2020-06-08,112,N,VIIRS,n,1.0NRT,270.5,0.5,N
11.99586,9.46177,335.9,0.49,0.41,2020-06-08,1212,N,VIIRS,n,1.0NRT,302.1,2.5,D
13.98386,12.07337,342.9,0.39,0.37,2020-06-08,1212,N,VIIRS,l,1.0NRT,309,3.5,D
4.87888,5.91264,331.1,0.54,0.68,2020-06-08,1212,N,VIIRS,n,1.0NRT,285.1,3.1,D
5.95932,6.33383,340.6,0.45,0.63,2020-06-08,1212,N,VIIRS,n,1.0NRT,289.4,4.3,D
10.98778,11.18904,338.5,0.53,0.42,2020-06-08,1212,N,VIIRS,n,1.0NRT,302.8,3.5,D
5.20384,5.61411,329.4,0.52,0.67,2020-06-08,1212,N,VIIRS,n,1.0NRT,284.9,6.4,D
12.27578,10.85541,335,0.46,0.39,2020-06-08,1212,N,VIIRS,n,1.0NRT,303.7,4.1,D
10.42823,10.71337,336.5,0.39,0.44,2020-06-08,1212,N,VIIRS,n,1.0NRT,300.5,2.2,D
13.98693,12.07728,349.4,0.39,0.37,2020-06-08,1212,N,VIIRS,n,1.0NRT,310.4,8.3,D
13.98025,12.07281,342.4,0.39,0.37,2020-06-08,1212,N,VIIRS,l,1.0NRT,306.7,3.5,D
13.9761,12.07559,352.7,0.39,0.37,2020-06-08,1212,N,VIIRS,n,1.0NRT,306.8,12.6,D
13.97971,12.07615,350.8,0.39,0.37,2020-06-08,1212,N,VIIRS,n,1.0NRT,309,10.3,D
13.55921,12.16879,309.2,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.3,3,N
13.56471,12.16779,309,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.6,3,N
13.53556,12.15114,329.4,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.9,3.7,N
13.52916,12.14735,314.4,0.59,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.7,3.7,N
13.54197,12.15494,331.6,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.8,3.1,N
13.5365,12.15598,318,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.4,4.2,N
13.54293,12.15978,313,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.6,3.1,N
13.55387,12.15769,313.6,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.6,3.4,N
13.55482,12.16253,314,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.7,4.3,N
13.5484,12.15873,320.1,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.8,3.1,N
13.56674,12.16529,315.8,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.9,4.7,N
13.56031,12.16149,331.4,0.6,0.53,2020-06-08,106,N,VIIRS,n,1.0NRT,295.9,4.3,N
6.08837,4.80292,303.9,0.42,0.38,2020-06-08,112,N,VIIRS,n,1.0NRT,279.1,0.9,N
