==============================================================================
==============================================================================
Wed. Jun. 18 2014                  LANDSAT 5                       Time: 07:31
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101406179892_00092                          Path / Row - 224 / 63
Reference Image: L51CUB1011210130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240631067   -3.77776    -50.64057    -0.28     -0.29     0.41     1 
2240631068   -3.77774    -50.61247    -0.10      0.07     0.12     1 
2240631072   -3.77769    -50.50007    -0.05     -0.11     0.12     1 
2240631073   -3.77767    -50.47198    -0.18     -0.07     0.19     1 
2240631075   -3.77764    -50.41578    -0.06     -0.12     0.14     1 
2240631079   -3.77755    -50.30339    -0.03     -0.11     0.11     1 
2240631082   -3.77748    -50.21910     0.12     -0.02     0.13     1 
2240631086   -3.77737    -50.10671    -0.13      0.20     0.24     1 
2240631087   -3.77734    -50.07862    -0.27      0.01     0.27     1 
2240631088   -3.77731    -50.05052    -0.18      0.17     0.24     1 
2240631093   -3.77715    -49.91005     0.17     -0.10     0.20     1 
2240631094   -3.77711    -49.88195     0.13      0.01     0.13     1 
2240631095   -3.77707    -49.85386     0.05     -0.14     0.15     1 
2240631096   -3.77704    -49.82577     0.08      0.04     0.09     1 
2240631097   -3.77700    -49.79767     0.01      0.10     0.10     1 
2240631098   -3.77696    -49.76958    -0.04     -0.04     0.05     1 
2240631099   -3.77692    -49.74149     0.25     -0.17     0.30     1 
2240631100   -3.77688    -49.71339    -0.04     -0.11     0.12     1 
2240631101   -3.77683    -49.68530     0.18     -0.18     0.26     1 
2240631103   -3.77675    -49.62912     0.17      0.11     0.20     1 
2240631104   -3.77670    -49.60103    -0.04     -0.11     0.12     1 
2240631105   -3.77666    -49.57294    -0.15      0.02     0.16     1 
2240631106   -3.77661    -49.54485    -0.01     -0.01     0.01     1 
2240631107   -3.77656    -49.51676    -0.02      0.38     0.38     1 
2240631108   -3.77651    -49.48867    -0.28      0.28     0.40     1 
2240631109   -3.77646    -49.46058    -0.08     -0.01     0.08     1 
2240631112   -3.77631    -49.37631     0.10      0.02     0.10     1 
2240631117   -3.77603    -49.23588     0.17     -0.15     0.23     1 
2240631118   -3.77598    -49.20779     0.02     -0.17     0.17     1 
2240631120   -3.77586    -49.15162     0.01     -0.02     0.02     1 
2240631136   -3.80278    -50.80915    -0.20     -0.36     0.41     1 
2240631137   -3.80277    -50.78105     0.06     -0.10     0.12     1 
2240631138   -3.80277    -50.75295     0.10      0.07     0.12     1 
2240631139   -3.80276    -50.72485     0.03     -0.13     0.13     1 
2240631140   -3.80275    -50.69675    -0.19     -0.33     0.38     1 
2240631141   -3.80274    -50.66866    -0.21      0.06     0.22     1 
2240631142   -3.80273    -50.64055     0.11     -0.15     0.19     1 
2240631144   -3.80270    -50.58436     0.06     -0.21     0.22     1 
2240631145   -3.80269    -50.55626     0.06     -0.21     0.22     1 
2240631147   -3.80266    -50.50006    -0.21     -0.24     0.32     1 
2240631148   -3.80264    -50.47196    -0.23     -0.18     0.29     1 
2240631149   -3.80262    -50.44386    -0.16     -0.02     0.16     1 
2240631150   -3.80260    -50.41576     0.09     -0.18     0.20     1 
2240631153   -3.80254    -50.33147    -0.17     -0.24     0.29     1 
2240631154   -3.80252    -50.30337    -0.14     -0.07     0.16     1 
2240631156   -3.80247    -50.24717     0.08      0.09     0.12     1 
2240631160   -3.80237    -50.13478     0.05     -0.02     0.05     1 
2240631161   -3.80234    -50.10669    -0.05      0.05     0.07     1 
2240631162   -3.80231    -50.07859     0.03      0.14     0.14     1 
2240631165   -3.80221    -49.99430    -0.28      0.00     0.28     1 
2240631169   -3.80207    -49.88192    -0.03      0.07     0.08     1 
2240631170   -3.80204    -49.85383     0.07      0.23     0.24     1 
2240631171   -3.80200    -49.82573    -0.03      0.21     0.21     1 
2240631172   -3.80196    -49.79764    -0.04      0.16     0.16     1 
2240631173   -3.80192    -49.76955    -0.03      0.13     0.13     1 
2240631174   -3.80188    -49.74145     0.07      0.16     0.18     1 
2240631175   -3.80184    -49.71336     0.00     -0.17     0.17     1 
2240631176   -3.80180    -49.68527    -0.06     -0.08     0.10     1 
2240631178   -3.80171    -49.62908     0.24      0.22     0.32     1 
2240631180   -3.80162    -49.57290    -0.09     -0.06     0.11     1 
2240631181   -3.80157    -49.54481    -0.02     -0.14     0.14     1 
2240631182   -3.80152    -49.51672     0.11      0.07     0.13     1 
2240631184   -3.80142    -49.46054    -0.38      0.03     0.38     1 
2240631185   -3.80137    -49.43245     0.09     -0.14     0.17     1 
2240631186   -3.80132    -49.40436    -0.08     -0.01     0.08     1 
2240631187   -3.80127    -49.37627     0.01     -0.02     0.03     1 
2240631188   -3.80122    -49.34818     0.01      0.24     0.24     1 
2240631191   -3.80105    -49.26392    -0.02     -0.22     0.22     1 
2240631192   -3.80099    -49.23583     0.04     -0.07     0.08     1 
2240631193   -3.80093    -49.20774    -0.03     -0.04     0.05     1 
2240631194   -3.80088    -49.17966     0.03     -0.33     0.33     1 
2240631195   -3.80082    -49.15157     0.11     -0.10     0.15     1 
2240631212   -3.82774    -50.78105     0.10     -0.30     0.31     1 
2240631213   -3.82774    -50.75295    -0.15     -0.06     0.16     1 
2240631214   -3.82773    -50.72485    -0.05     -0.20     0.20     1 
2240631215   -3.82772    -50.69675     0.23     -0.34     0.41     1 
2240631216   -3.82771    -50.66864     0.14     -0.19     0.24     1 
2240631217   -3.82769    -50.64055     0.08     -0.02     0.08     1 
2240631218   -3.82768    -50.61244    -0.01     -0.11     0.11     1 
2240631220   -3.82766    -50.55624     0.10     -0.28     0.30     1 
2240631222   -3.82763    -50.50004     0.04      0.02     0.05     1 
2240631224   -3.82759    -50.44385    -0.12     -0.08     0.14     1 
2240631226   -3.82755    -50.38765     0.11     -0.06     0.13     1 
2240631228   -3.82751    -50.33145    -0.22     -0.24     0.33     1 
2240631232   -3.82741    -50.21905    -0.08     -0.10     0.13     1 
2240631239   -3.82721    -50.02237    -0.13      0.19     0.23     1 
2240631240   -3.82718    -49.99427    -0.06      0.07     0.09     1 
