Journey Duration,Journey ID,End Date,End Month,End Year,End Hour,End Minute,End Station ID,Start Date,Start Month,Start Year,Start Hour,Start Minute,Start Station ID
1080,2951,19,9,17,8,35,129,19,9,17,8,17,404
960,13697,18,9,17,9,31,383,18,9,17,9,15,404
660,11041,14,9,17,19,23,404,14,9,17,19,12,541
1080,10676,13,9,17,19,3,404,13,9,17,18,45,129
1380,3712,18,9,17,19,13,157,18,9,17,18,50,129
1260,967,14,9,17,9,55,129,14,9,17,9,34,157
840,7547,14,9,17,8,20,321,14,9,17,8,6,374
480,6606,13,9,17,22,54,272,13,9,17,22,46,308
420,14342,19,9,17,8,12,810,19,9,17,8,5,374
240,14342,19,9,17,9,58,308,19,9,17,9,54,810
600,5450,19,9,17,22,12,374,19,9,17,22,2,308
480,9846,15,9,17,21,15,374,15,9,17,21,7,308
480,12938,18,9,17,19,37,272,18,9,17,19,29,308
660,11437,14,9,17,21,22,272,14,9,17,21,11,308
480,4768,13,9,17,9,21,308,13,9,17,9,13,272
480,14926,15,9,17,8,19,321,15,9,17,8,11,272
720,3464,18,9,17,8,17,314,18,9,17,8,5,374
720,14366,18,9,17,8,22,184,18,9,17,8,10,14
600,855,19,9,17,16,10,14,19,9,17,16,0,184
540,526,18,9,17,17,4,14,18,9,17,16,55,184
720,13779,14,9,17,8,22,184,14,9,17,8,10,14
660,3286,19,9,17,7,54,184,19,9,17,7,43,14
540,15034,14,9,17,17,32,14,14,9,17,17,23,184
420,8213,15,9,17,17,37,14,15,9,17,17,30,184
660,128,17,9,17,21,15,9,17,9,17,21,4,9
360,1277,13,9,17,7,0,703,13,9,17,6,54,9
360,1877,13,9,17,20,34,9,13,9,17,20,28,112
960,1908,13,9,17,15,49,456,13,9,17,15,33,116
780,4601,14,9,17,5,27,141,14,9,17,5,14,604
960,3410,18,9,17,17,1,572,18,9,17,16,45,141
900,7624,13,9,17,5,23,141,13,9,17,5,8,604
1200,1181,14,9,17,18,14,796,14,9,17,17,54,572
360,795,13,9,17,16,55,572,13,9,17,16,49,131
240,11816,13,9,17,12,5,572,13,9,17,12,1,425
960,14108,14,9,17,11,36,572,14,9,17,11,20,141
420,2601,13,9,17,16,32,131,13,9,17,16,25,462
480,8688,13,9,17,10,29,98,13,9,17,10,21,604
420,9566,14,9,17,22,17,572,14,9,17,22,10,796
720,776,19,9,17,7,52,141,19,9,17,7,40,604
840,6340,13,9,17,9,21,572,13,9,17,9,7,141
480,6297,13,9,17,13,23,98,13,9,17,13,15,604
1620,14091,16,9,17,10,31,395,16,9,17,10,4,727
780,1674,14,9,17,6,21,345,14,9,17,6,8,727
780,10195,13,9,17,10,15,546,13,9,17,10,2,374
660,14765,13,9,17,15,29,154,13,9,17,15,18,546
1320,7870,14,9,17,8,44,350,14,9,17,8,22,341
1620,297,13,9,17,8,36,404,13,9,17,8,9,341
1440,13697,18,9,17,8,32,404,18,9,17,8,8,341
1200,8073,15,9,17,17,30,160,15,9,17,17,10,350
1440,4366,15,9,17,8,30,404,15,9,17,8,6,341
1680,1380,19,9,17,8,37,404,19,9,17,8,9,341
1200,1906,16,9,17,8,47,668,16,9,17,8,27,176
540,2374,15,9,17,20,14,307,15,9,17,20,5,428
660,7888,15,9,17,18,9,428,15,9,17,17,58,568
960,1338,16,9,17,18,41,595,16,9,17,18,25,568
660,13236,19,9,17,18,25,334,19,9,17,18,14,109
660,14489,14,9,17,9,11,109,14,9,17,9,0,361
720,2796,19,9,17,9,15,109,19,9,17,9,3,361
1140,5301,13,9,17,18,38,595,13,9,17,18,19,186
360,1916,18,9,17,9,11,587,18,9,17,9,5,48
900,14353,15,9,17,8,7,9,15,9,17,7,52,270
900,12412,15,9,17,16,29,270,15,9,17,16,14,9
840,678,13,9,17,10,14,810,13,9,17,10,0,813
840,2310,13,9,17,16,20,270,13,9,17,16,6,9
360,3392,16,9,17,12,20,117,16,9,17,12,14,74
360,8374,16,9,17,11,1,74,16,9,17,10,55,117
1140,8960,13,9,17,18,23,508,13,9,17,18,4,27
1200,2813,16,9,17,9,59,808,16,9,17,9,39,181
1020,4887,16,9,17,13,57,213,16,9,17,13,40,195
780,8592,16,9,17,11,52,435,16,9,17,11,39,814
720,9069,19,9,17,18,16,181,19,9,17,18,4,129
1980,7150,14,9,17,10,0,804,14,9,17,9,27,223
